Abbott's Babbler,Malacocincla abbotti
Abbott's Booby,Papasula abbotti
Abbott's Starling,Arizelopsar femoralis
Abd al-Kuri Sparrow,Passer hemileucus
Abdim's Stork,Ciconia abdimii
Aberdare Cisticola,Cisticola aberdare
Aberrant Bush Warbler,Horornis flavolivaceus
Abert's Towhee,Melozone aberti
Abyssinian Catbird,Sylvia galinieri
Abyssinian Crimsonwing,Cryptospiza salvadorii
Abyssinian Ground Hornbill,Bucorvus abyssinicus
Abyssinian Ground Thrush,Geokichla piaggiae
Abyssinian Longclaw,Macronyx flavicollis
Abyssinian Owl,Asio abyssinicus
Abyssinian Roller,Coracias abyssinicus
Abyssinian Scimitarbill,Rhinopomastus minor
Abyssinian Slaty Flycatcher,Melaenornis chocolatinus
Abyssinian Thrush,Turdus abyssinicus
Abyssinian Wheatear,Oenanthe lugubris
Abyssinian White-eye,Zosterops abyssinicus
Abyssinian Woodpecker,Dendropicos abyssinicus
Acacia Pied Barbet,Tricholaema leucomelas
Acacia Tit,Melaniparus thruppi
Acadian Flycatcher,Empidonax virescens
Aceh Bulbul,Pycnonotus snouckaerti
Acorn Woodpecker,Melanerpes formicivorus
Acre Antshrike,Thamnophilus divisorius
Acre Tody-Tyrant,Hemitriccus cohnhafti
Adamawa Turtle Dove,Streptopelia hypopyrrha
Adelaide's Warbler,Setophaga adelaidae
Adelie Penguin,Pygoscelis adeliae
Admiralty Cicadabird,Edolisoma admiralitatis
Afep Pigeon,Columba unicincta
Afghan Babbler,Argya huttoni
Afghan Snowfinch,Pyrgilauda theresae
African Barred Owlet,Glaucidium capense
African Black Duck,Anas sparsa
African Black Swift,Apus barbatus
African Blue Flycatcher,Elminia longicauda
African Blue Tit,Cyanistes teneriffae
African Broadbill,Smithornis capensis
African Chaffinch,Fringilla spodiogenys
African Citril,Crithagra citrinelloides
African Collared Dove,Streptopelia roseogrisea
African Crake,Crecopsis egregia
African Crimson-winged Finch,Rhodopechys alienus
African Cuckoo-Hawk,Aviceda cuculoides
African Cuckoo,Cuculus gularis
African Darter,Anhinga rufa
African Desert Warbler,Curruca deserti
African Dusky Flycatcher,Muscicapa adusta
African Dwarf Kingfisher,Ispidina lecontei
African Emerald Cuckoo,Chrysococcyx cupreus
African Finfoot,Podica senegalensis
African Firefinch,Lagonosticta rubricata
African Fish Eagle,Icthyophaga vocifer
African Golden Oriole,Oriolus auratus
African Goshawk,Accipiter tachiro
African Grass Owl,Tyto capensis
African Green Bee-eater,Merops viridissimus
African Green Pigeon,Treron calvus
African Grey Flycatcher,Bradornis microrhynchus
African Grey Hornbill,Lophoceros nasutus
African Grey Woodpecker,Dendropicos goertae
African Harrier-Hawk,Polyboroides typus
African Hawk-Eagle,Aquila spilogaster
African Hill Babbler,Sylvia abyssinica
African Hobby,Falco cuvierii
African Hoopoe,Upupa africana
African Jacana,Actophilornis africanus
African Marsh Harrier,Circus ranivorus
African Olive Pigeon,Columba arquatrix
African Openbill,Anastomus lamelligerus
African Oystercatcher,Haematopus moquini
African Palm Swift,Cypsiurus parvus
African Paradise Flycatcher,Terpsiphone viridis
African Penguin,Spheniscus demersus
African Piculet,Verreauxia africana
African Pied Wagtail,Motacilla aguimp
